sample,MYCN,RET,KIT,PROM1,PTRH2,TLE5,TLE1,GAPDH,TCF7,RELA,RPL30,PSMC5,WDTC1,RRP1,HNRNPL,PCBP1,RER1,A2ML1,ZFHX3
GTEX-13N2G-2226-SM-5IJCU,-1.595,0.6517,3.537,0.7321,3.101,9.58,5.276,10.63,1.656,5.878,10.81,7.403,5.303,3.373,7.297,7.788,6.301,-0.1993,2.441
TCGA-LL-A740-01,-0.6416,-1.026,1.428,0.688,5.251,8.648,5.051,10.71,1.74,5.463,11.09,7.804,4.573,4.35,7.918,7.872,7.823,-1.392,1.692
TCGA-DX-AB2O-01,1.112,1.396,4.212,-3.458,4.327,9.37,5.283,12.45,3.151,5.484,12.02,7.57,5.299,4.675,8.105,8.547,7.486,-3.171,3.213
TCGA-F5-6863-01,-0.013,-0.2671,-0.8339,6.041,4.98,8.985,3.74,11.91,5.693,5.734,12.54,7.162,5.016,4.499,7.891,8.282,6.316,-9.966,2.245
TCGA-AB-2972-03,0.4552,-1.938,4.425,2.115,4.514,7.103,3.963,10.89,4.691,5.304,10.84,5.979,4.552,4.223,7.872,7.286,5.817,-1.214,1.496
GTEX-ZDXO-0426-SM-4WKF6,-2.932,-2.245,-0.0277,1.982,2.662,9.334,4.138,11.73,1.132,5.037,10.15,6.587,4.766,2.325,6.88,6.965,5.594,-1.181,0.5955
TCGA-33-AASD-01,-2.245,-0.9971,-2.315,-2.388,5.151,7.966,3.492,12.34,1.439,6.688,11.04,7.28,4.534,4.895,7.95,8.354,6.686,0.2642,1.34
TCGA-ET-A3BS-01,-3.171,1.417,1.816,-6.506,4.05,8.765,3.082,10.07,5.112,4.962,11.18,6.975,4.625,3.853,7.371,7.495,6.252,-9.966,2.772
GTEX-13112-0011-R7b-SM-5DUVW,0.044,-1.283,2.033,0.8082,2.945,8.528,4.737,10.68,-0.0877,3.991,8.948,6.425,4.292,3.17,6.289,6.33,4.948,0.4967,0.3231
TCGA-BH-A0BZ-01,-0.8084,4.418,0.537,0.0014,5.147,8.96,4.881,11.55,3.248,6.137,11.68,8.139,4.795,4.476,7.948,8.181,7.815,-1.685,1.719
TCGA-22-5478-01,-0.6193,-2.727,4.492,2.563,4.319,8.978,3.366,12.48,3.356,5.864,10.73,8.079,4.792,5.21,8.159,9.076,6.759,0.7233,1.795
TCGA-29-1768-01,1.852,-3.458,-1.639,1.351,5.013,6.969,3.708,12.51,2.597,5.391,12.58,5.655,2.915,3.234,6.508,7.438,5.801,0.5859,0.605
GTEX-13N11-0526-SM-5IJFI,0.8568,-0.6193,3.963,-1.552,3.647,8.923,5.689,9.887,1.679,6.264,11.92,6.612,5.225,4.155,7.273,7.508,6.359,-3.047,1.876
GTEX-12WSA-0011-R5b-SM-5GU5I,-0.0877,-2.388,1.585,-0.3022,3.552,8.561,4.976,11.09,0.434,3.989,10.25,7.28,3.661,3.118,6.387,7.043,5.147,0.6699,-0.6643
